compartment_id,year,mean_ndvi,p10_ndvi,p90_ndvi,stddev_ndvi,cv_ndvi
5063,2019,0.779680220509993,0.6152293682098389,0.8502005338668823,0.1105641089658217,0.1418069947875568
5064,2019,0.8460454556471058,0.8040126842716109,0.881677202487029,0.042026979676527645,0.04967461192068329
5065,2019,0.8239233202465605,0.8049535751342773,0.8378572463989258,0.02330958977203332,0.028290969801726074
5068,2019,0.8558487849042793,0.8235947489738464,0.8793774672916957,0.027726297819900245,0.03239625773728386
5069,2019,0.7875964377249182,0.6864186304244403,0.85772271873631,0.0878189644507774,0.11150249067206892
5072,2019,0.8666191202029603,0.8526977230175375,0.8780269026756288,0.016906524892580904,0.019508598989393902
5073,2019,0.8787033266357622,0.8728363280888294,0.8882428458260566,0.027453812712300026,0.031243551583457367
5074,2019,0.8565973338935301,0.8147979378700256,0.882438424680787,0.02588573749252758,0.030219259934966155
5075,2019,0.8522521901158048,0.8344356715679169,0.8686281442642212,0.02582899604905698,0.030306752330606875
5076,2019,0.8385749084905565,0.8134405612945557,0.8680275212333167,0.04844746919582761,0.05777357360123445
5077,2019,0.8335677854173015,0.7796338200569153,0.8658980964268662,0.054884745706021185,0.06584317036501684
5083,2019,0.8592886728783176,0.8469392359256744,0.8730798363685608,0.012279424984971117,0.014290220938022288
5085,2019,0.8224671886862162,0.7749036947886149,0.8647567350886725,0.033802406539058735,0.0410987903274946
5086,2019,0.8360866962646919,0.7920437262434027,0.8702496606476452,0.03997548239213142,0.04781260432766868
5087,2019,0.8126510004473284,0.7623182535171509,0.8601532578468323,0.03611847861548885,0.04444525213850377
5088,2019,0.8610544643624294,0.8309823870658875,0.8787597209752143,0.02176837723697213,0.025281068896252222
6196,2019,0.837389735400687,0.7775423526763917,0.8676824633005411,0.03587225718008436,0.042838185928944617
6197,2019,0.8451737692935513,0.8017433881759644,0.8694522976875305,0.026654770835264057,0.03153762197038341
6198,2019,0.8569656435766888,0.8350020507852475,0.879730556727634,0.028334791853074706,0.033064093135419914
6199,2019,0.8333449620822548,0.7880443962977121,0.874175299493685,0.04459818805267829,0.05351707885920627
6200,2019,0.8252513926901643,0.7822071334177797,0.8601896137584143,0.04202966931154061,0.05092953454405184
